RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
65,Comments on Host/Host Protocol document #1,D.C. Walden,August 1970,UNKNOWN,Legacy,,
426,Reconnection Protocol,R. Thomas,January 1973,UNKNOWN,Legacy,,
439,PARRY encounters the DOCTOR,V. Cerf,January 1973,UNKNOWN,Legacy,,
468,FTP data compression,R.T. Braden,March 1973,UNKNOWN,Legacy,,
647,Proposed protocol for connecting host computers to ARPA-like networks via front end processors,M.A. Padlipsky,November 1974,UNKNOWN,Legacy,,
686,Leaving well enough alone,B. Harvey,May 1975,UNKNOWN,Legacy,,
691,One more try on the FTP,B. Harvey,June 1975,UNKNOWN,Legacy,,
700,Protocol experiment,"E. Mader,R.S. Tomlinson,W.W. Plummer",August 1974,INFORMATIONAL,Legacy,,
707,High-level framework for network-based resource sharing,J.E. White,December 1975,UNKNOWN,Legacy,,
712,Distributed Capability Computing System (DCCS),J.E. Donnelley,February 1976,UNKNOWN,Legacy,,
756,NIC name server - a datagram-based information utility,"E.J. Feinler,J.E. Mathis,J.R. Pickens",July 1979,UNKNOWN,Legacy,,
757,"Suggested solution to the naming, addressing, and delivery problem for ARPANET message systems",D.P. Deutsch,September 1979,UNKNOWN,Legacy,,
849,Suggestions for improved host table distribution,M.R. Crispin,May 1983,UNKNOWN,Legacy,,
851,ARPANET 1822L Host Access Protocol,A.G. Malis,April 1983,UNKNOWN,Legacy,,
871,Perspective on the ARPANET reference model,M.A. Padlipsky,September 1982,UNKNOWN,Legacy,,
874,Critique of X.25,M.A. Padlipsky,September 1982,UNKNOWN,Legacy,,
878,ARPANET 1822L Host Access Protocol,A.G. Malis,December 1983,UNKNOWN,Legacy,,
882,Domain names: Concepts and facilities,P.V. Mockapetris,November 1983,UNKNOWN,Legacy,,
898,Gateway special interest group meeting notes,"J. Postel,J.K. Reynolds,M. Muuss,R.M. Hinden",April 1984,UNKNOWN,Legacy,,
904,Exterior Gateway Protocol formal specification,D.L. Mills,April 1984,HISTORIC,Legacy,,
911,EGP Gateway under Berkeley UNIX 4.2,P. Kirton,August 1984,UNKNOWN,Legacy,,
912,Authentication service,M. St. Johns,September 1984,UNKNOWN,Legacy,,
914,Thinwire protocol for connecting personal computers to the Internet,"D.J. Farber,G. Delp,T.M. Conte",September 1984,HISTORIC,Legacy,,
916,Reliable Asynchronous Transfer Protocol (RATP),G.G. Finn,October 1984,HISTORIC,Legacy,,
928,Introduction to proposed DoD standard H-FP,M.A. Padlipsky,December 1984,UNKNOWN,Legacy,,
929,Proposed Host-Front End Protocol,"J. Lilienkamp,M.A. Padlipsky,R. Mandell",December 1984,HISTORIC,Legacy,,
931,Authentication server,M. St. Johns,January 1985,UNKNOWN,Legacy,,
933,Output marking Telnet option,S. Silverman,January 1985,PROPOSED STANDARD,Legacy,,
934,Proposed standard for message encapsulation,"E.A. Stefferud,M.T. Rose",January 1985,UNKNOWN,Legacy,,
942,Transport protocols for Department of Defense data networks,National Research Council,February 1985,UNKNOWN,Legacy,,
956,Algorithms for synchronizing network clocks,D.L. Mills,September 1985,UNKNOWN,Legacy,,
962,TCP-4 prime,M.A. Padlipsky,November 1985,UNKNOWN,Legacy,,
966,Host groups: A multicast extension to the Internet Protocol,"D.R. Cheriton,S.E. Deering",December 1985,UNKNOWN,Legacy,,
975,Autonomous confederations,D.L. Mills,February 1986,UNKNOWN,Legacy,,
988,Host extensions for IP multicasting,S.E. Deering,July 1986,UNKNOWN,Legacy,,
989,Privacy enhancement for Internet electronic mail: Part I: Message encipherment and authentication procedures,J. Linn,February 1987,UNKNOWN,Legacy,,
1004,Distributed-protocol authentication scheme,D.L. Mills,April 1987,EXPERIMENTAL,Legacy,,
1005,ARPANET AHIP-E Host Access Protocol (enhanced AHIP),"A. Khanna,A.G. Malis",May 1987,UNKNOWN,Legacy,,
1034,Domain names - concepts and facilities,P.V. Mockapetris,November 1987,INTERNET STANDARD,Legacy,,
1038,Draft revised IP security option,M. St. Johns,January 1988,UNKNOWN,Legacy,,
1040,Privacy enhancement for Internet electronic mail: Part I: Message encipherment and authentication procedures,J. Linn,January 1988,UNKNOWN,Legacy,,
1045,VMTP: Versatile Message Transaction Protocol: Protocol specification,D.R. Cheriton,February 1988,EXPERIMENTAL,Legacy,,
