RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
721,Out-of-Band Control Signals in a Host-to-Host Protocol,L.L. Garlick,September 1976,HISTORIC,Legacy,,
808,Summary of computer mail services meeting held at BBN on 10 January 1979,J. Postel,March 1982,UNKNOWN,Legacy,,
1015,Implementation plan for interagency research Internet,B.M. Leiner,July 1987,UNKNOWN,Legacy,,
1107,Plan for Internet directory services,K.R. Sollins,July 1989,INFORMATIONAL,Legacy,,
1114,Privacy enhancement for Internet electronic mail: Part II - certificate-based key management,"J. Linn,S.T. Kent",August 1989,HISTORIC,Legacy,,
1125,Policy requirements for inter Administrative Domain routing,D. Estrin,November 1989,UNKNOWN,Legacy,,
1297,"NOC Internal Integrated Trouble Ticket System Functional Specification Wishlist (""NOC TT REQUIREMENTS"")",D. Johnson,January 1992,INFORMATIONAL,IETF,,ucp
1507,DASS - Distributed Authentication Security Service,C. Kaufman,September 1993,EXPERIMENTAL,IETF,sec,cat
1529,Principles of Operation for the TPC.INT Subdomain: Remote Printing -- Administrative Policies,"C. Malamud,M. Rose",October 1993,INFORMATIONAL,Legacy,,
1588,White Pages Meeting Report,"C. Anderson,J. Postel",February 1994,INFORMATIONAL,Legacy,,
1681,On Many Addresses per Host,S. Bellovin,August 1994,INFORMATIONAL,Legacy,,
2196,Site Security Handbook,B. Fraser,September 1997,INFORMATIONAL,IETF,,ssh
2305,A Simple Mode of Facsimile Using Internet Mail,"D. Wing,H. Ohno,J. Murai,K. Toyoda",March 1998,PROPOSED STANDARD,IETF,app,fax
2725,Routing Policy System Security,"C. Alaettinoglu,C. Villamizar,D. Meyer,S. Murphy",December 1999,PROPOSED STANDARD,IETF,ops,rps
2828,Internet Security Glossary,R. Shirey,May 2000,INFORMATIONAL,Legacy,,
2888,Secure Remote Access with L2TP,P. Srisuresh,August 2000,INFORMATIONAL,Legacy,,
2906,AAA Authorization Requirements,"B. de Bruijn,C. de Laat,D. Spence,G. Gross,J. Vollbrecht,L. Gommans,M. Holdrege,P. Calhoun,S. Farrell",August 2000,INFORMATIONAL,Legacy,,
3013,Recommended Internet Service Provider Security Services and Procedures,T. Killalea,November 2000,BEST CURRENT PRACTICE,IETF,ops,grip
3067,TERENA\'S Incident Object Description and Exchange Format Requirements,"A. Cormack,J. Arvidsson,J. Meijer,Y. Demchenko",February 2001,INFORMATIONAL,Legacy,,
3578,Mapping of Integrated Services Digital Network (ISDN) User Part (ISUP) Overlap Signalling to the Session Initiation Protocol (SIP),"A. B. Roach,G. Camarillo,J. Peterson,L. Ong",August 2003,PROPOSED STANDARD,IETF,rai,sipping
3647,Internet X.509 Public Key Infrastructure Certificate Policy and Certification Practices Framework,"C. Merrill,R. Sabett,S. Chokhani,S. Wu,W. Ford",November 2003,INFORMATIONAL,IETF,sec,pkix
3694,Threat Analysis of the Geopriv Protocol,"D. Mulligan,J. Morris,J. Peterson,M. Danley",February 2004,INFORMATIONAL,IETF,rai,geopriv
3716,IETF in the Large:  Administration and Execution,IAB Advisory Committee,March 2004,HISTORIC,IAB,,
3726,Requirements for Signaling Protocols,M. Brunner,April 2004,INFORMATIONAL,IETF,tsv,nsis
3871,Operational Security Requirements for Large Internet Service Provider (ISP) IP Network Infrastructure,G. Jones,September 2004,INFORMATIONAL,IETF,,NON WORKING GROUP
3881,Security Audit and Access Accountability Message XML Data Definitions for Healthcare Applications,G. Marshall,September 2004,INFORMATIONAL,INDEPENDENT,,
3965,A Simple Mode of Facsimile Using Internet Mail,"D. Wing,H. Ohno,J. Murai,K. Toyoda",December 2004,DRAFT STANDARD,IETF,app,fax
4071,Structure of the IETF Administrative Support Activity (IASA),"B. Wijnen,R. Austein",April 2005,BEST CURRENT PRACTICE,IETF,,NON WORKING GROUP
4089,IAB and IESG Recommendation for IETF Administrative Restructuring,"IAB and IESG,S. Hollenbeck",May 2005,INFORMATIONAL,IAB,,
4258,Requirements for Generalized Multi-Protocol Label Switching (GMPLS) Routing for the Automatically Switched Optical Network (ASON),D. Brungard,November 2005,INFORMATIONAL,IETF,rtg,ccamp
4652,Evaluation of Existing Routing Protocols against Automatic Switched Optical Network (ASON) Routing Requirements,"D. Papadimitriou,D. Ward,J. Sadler,L. Ong,S. Shew",October 2006,INFORMATIONAL,IETF,rtg,ccamp
4686,Analysis of Threats Motivating DomainKeys Identified Mail (DKIM),J. Fenton,September 2006,INFORMATIONAL,IETF,sec,dkim
4844,The RFC Series and RFC Editor,"Internet Architecture Board,L. Daigle",July 2007,INFORMATIONAL,IAB,,
4949,"Internet Security Glossary, Version 2",R. Shirey,August 2007,INFORMATIONAL,INDEPENDENT,,
4962,"Guidance for Authentication, Authorization, and Accounting (AAA) Key Management","B. Aboba,R. Housley",July 2007,BEST CURRENT PRACTICE,IETF,,NON WORKING GROUP
5000,Internet Official Protocol Standards,RFC Editor,May 2008,HISTORIC,INDEPENDENT,,
5016,Requirements for a DomainKeys Identified Mail (DKIM) Signing Practices Protocol,M. Thomas,October 2007,INFORMATIONAL,IETF,sec,dkim
5068,Email Submission Operations: Access and Accountability Requirements,"C. Hutzler,D. Crocker,E. Allman,P. Resnick,T. Finch",November 2007,BEST CURRENT PRACTICE,IETF,,NON WORKING GROUP
5111,Experiment in Exploratory Group Formation within the Internet Engineering Task Force (IETF),"B. Aboba,L. Dondeti",January 2008,EXPERIMENTAL,IETF,,NON WORKING GROUP
5550,The Internet Email to Support Diverse Service Environments (Lemonade) Profile,"A. Melnikov,D. Cridland,S. Maes",August 2009,PROPOSED STANDARD,IETF,app,lemonade
5585,DomainKeys Identified Mail (DKIM) Service Overview,"D. Crocker,P. Hallam-Baker,T. Hansen",July 2009,INFORMATIONAL,IETF,sec,dkim
5598,Internet Mail Architecture,D. Crocker,July 2009,INFORMATIONAL,IETF,,NON WORKING GROUP
5636,Traceable Anonymous Certificate,"H. Park,J. Lee,S. Kent,S. Park,Y. Won",August 2009,EXPERIMENTAL,IETF,sec,pkix
5863,"DomainKeys Identified Mail (DKIM) Development, Deployment, and Operations","D. Crocker,E. Siegel,P. Hallam-Baker,T. Hansen",May 2010,INFORMATIONAL,IETF,sec,dkim
6077,Open Research Issues in Internet Congestion Control,"B. Briscoe,D. Papadimitriou,M. Scharf,M. Welzl",February 2011,INFORMATIONAL,IRTF,,
6257,Bundle Security Protocol Specification,"H. Weiss,P. Lovell,S. Farrell,S. Symington",May 2011,EXPERIMENTAL,IRTF,,
6973,Privacy Considerations for Internet Protocols,"A. Cooper,B. Aboba,H. Tschofenig,J. Morris,J. Peterson,M. Hansen,R. Smith",July 2013,INFORMATIONAL,IAB,,
7375,Secure Telephone Identity Threat Model,J. Peterson,October 2014,INFORMATIONAL,IETF,rai,stir
7378,Trustworthy Location,"B. Aboba,H. Schulzrinne,H. Tschofenig",December 2014,INFORMATIONAL,IETF,rai,ecrit
