RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
5,Decode Encode Language (DEL),J. Rulifson,June 1969,UNKNOWN,Legacy,,
33,New Host-Host Protocol,S.D. Crocker,February 1970,UNKNOWN,Legacy,,
34,Some Brief Preliminary Notes on the Augmentation Research Center Clock,W.K. English,February 1970,UNKNOWN,Legacy,,
62,Systems for Interprocess Communication in a Resource Sharing Computer Network,D.C. Walden,August 1970,UNKNOWN,Legacy,,
74,Specifications for Network Use of the UCSB On-Line System,J.E. White,October 1970,UNKNOWN,Legacy,,
75,Network Meeting,S.D. Crocker,October 1970,UNKNOWN,Legacy,,
76,Connection by name: User oriented protocol,"J. Bouknight, J. Madden, G.R. Grossman",October 1970,UNKNOWN,Legacy,,
77,Network meeting report,J. Postel,November 1970,UNKNOWN,Legacy,,
82,Network Meeting Notes,E. Meyer,December 1970,UNKNOWN,Legacy,,
96,An Interactive Network Experiment to Study Modes of Access the Network Information Center,R.W. Watson,February 1971,INFORMATIONAL,Legacy,,
100,Categorization and guide to NWG/RFCs,P.M. Karp,February 1971,UNKNOWN,Legacy,,
101,"Notes on the Network Working Group meeting, Urbana, Illinois, February 17, 1971",R.W. Watson,February 1971,UNKNOWN,Legacy,,
105,Network Specifications for Remote Job Entry and Remote Job Output Retrieval at UCSB,J.E. White,March 1971,UNKNOWN,Legacy,,
109,Level III Server Protocol for the Lincoln Laboratory 360/67 Host,J. Winett,March 1971,UNKNOWN,Legacy,,
122,Network specifications for UCSB\'s Simple-Minded File System,J.E. White,April 1971,UNKNOWN,Legacy,,
129,Request for comments on socket name structure,"E. Harslem, J. Heafner, E. Meyer",April 1971,UNKNOWN,Legacy,,
136,Host accounting and administrative procedures,R.E. Kahn,April 1971,UNKNOWN,Legacy,,
147,Definition of a socket,J.M. Winett,May 1971,UNKNOWN,Legacy,,
150,Use of IPC Facilities: A Working Paper,R.B. Kalin,May 1971,UNKNOWN,Legacy,,
160,RFC brief list,Network Information Center. Stanford Research Institute,May 1971,UNKNOWN,Legacy,,
164,"Minutes of Network Working Group meeting, 5/16 through 5/19/71",J.F. Heafner,May 1971,UNKNOWN,Legacy,,
167,Socket conventions reconsidered,"A.K. Bhushan, R.M. Metcalfe, J.M. Winett",May 1971,UNKNOWN,Legacy,,
170,RFC List by Number,Network Information Center. Stanford Research Institute,June 1971,UNKNOWN,Legacy,,
187,Network/440 Protocol Concept,"D.B. McKay, D.P. Karp",July 1971,UNKNOWN,Legacy,,
189,Interim NETRJS specifications,R.T. Braden,July 1971,UNKNOWN,Legacy,,
200,RFC list by number,J.B. North,August 1971,UNKNOWN,Legacy,,
216,Telnet Access to UCSB\'s On-Line System,J.E. White,September 1971,UNKNOWN,Legacy,,
223,Network Information Center schedule for network users,"J.T. Melvin, R.W. Watson",September 1971,UNKNOWN,Legacy,,
231,Service center standards for remote usage: A user\'s view,"J.F. Heafner, E. Harslem",September 1971,UNKNOWN,Legacy,,
237,NIC view of standard host names,R.W. Watson,October 1971,UNKNOWN,Legacy,,
254,Scenarios for using ARPANET computers,A. Bhushan,October 1971,UNKNOWN,Legacy,,
273,More on standard host names,R.W. Watson,October 1971,UNKNOWN,Legacy,,
274,Establishing a local guide for network usage,E. Forman,November 1971,UNKNOWN,Legacy,,
283,NETRJT: Remote Job Service Protocol for TIPS,R.T. Braden,December 1971,UNKNOWN,Legacy,,
292,Graphics Protocol: Level 0 only,"J.C. Michener, I.W. Cotton, K.C. Kelley, D.E. Liddle, E. Meyer",January 1972,UNKNOWN,Legacy,,
307,Using network Remote Job Entry,E. Harslem,February 1972,UNKNOWN,Legacy,,
325,Network Remote Job Entry program - NETRJS,G. Hicks,April 1972,UNKNOWN,Legacy,,
333,Proposed experiment with a Message Switching Protocol,"R.D. Bressler, D. Murphy, D.C. Walden",May 1972,UNKNOWN,Legacy,,
350,User Accounts for UCSB On-Line System,R. Stoughton,May 1972,UNKNOWN,Legacy,,
351,Graphics information form for the ARPANET graphics resources notebook,D. Crocker,June 1972,UNKNOWN,Legacy,,
364,Serving remote users on the ARPANET,M.D. Abrams,July 1972,UNKNOWN,Legacy,,
369,"Evaluation of ARPANET services January-March, 1972",J.R. Pickens,July 1972,UNKNOWN,Legacy,,
379,Using TSO at CCN,R. Braden,August 1972,UNKNOWN,Legacy,,
385,Comments on the File Transfer Protocol,A.K. Bhushan,August 1972,UNKNOWN,Legacy,,
392,Measurement of host costs for transmitting network data,"G. Hicks, B.D. Wessler",September 1972,UNKNOWN,Legacy,,
